code,label_en,label_fr,source_url
X,Regular gasoline,Essence ordinaire,https://publications.gc.ca/collections/collection_2018/rncan-nrcan/M141-5-2018-eng.pdf
Z,Premium gasoline,Essence super,https://publications.gc.ca/collections/collection_2018/rncan-nrcan/M141-5-2018-eng.pdf
D,Diesel,Diésel,https://publications.gc.ca/collections/collection_2018/rncan-nrcan/M141-5-2018-eng.pdf
E,E85,E85,https://publications.gc.ca/collections/collection_2018/rncan-nrcan/M141-5-2018-eng.pdf
B,Electricity,Électricité,https://publications.gc.ca/collections/collection_2018/rncan-nrcan/M141-5-2018-eng.pdf
N,Natural gas,Gaz naturel,https://publications.gc.ca/collections/collection_2018/rncan-nrcan/M141-5-2018-eng.pdf
